URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),SizeOption,Ratings,Reviews,Discount %,Discount offer,Discount price
https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-burgundy--black-striped-pure-cotton-sustainable-casual-shirt/9951943/buy,9951943,Roadster,Topwear,shirts,Men,the roadster lifestyle co men burgundy  black striped pure cotton sustainable casual shirt,639,1599,"38, 40, 42, 44",4.3,561,60,959,640
https://www.myntra.com/kurtas/herenow/herenow-women-white--blue-printed-straight-kurta/12530368/buy,12530368,HERE&NOW,Indian Wear,kurtas,Women,herenow women white  blue printed straight kurta,419,1199,"XS, S, M, L, XL, XXL, 3XL",4.1,561,65,779,420
https://www.myntra.com/kurta-sets/kalini/kalini-women-coral-floral-printed-empire-gotta-patti-pure-cotton-kurta-with-trousers--with-dupatta/16505378/buy,16505378,KALINI,Indian Wear,kurta-sets,Women,kalini women coral floral printed empire gotta patti pure cotton kurta with trousers  with dupatta,1499,3999,"M, L, XL, XXL, 4XL, 5XL, 6XL, 7XL",4.1,561,63,2519,1480
https://www.myntra.com/night-suits/i-like-me/i-like-me-women-olive-green--white-printed-night-suit/12921156/buy,12921156,I like me,Lingerie & Sleep Wear,night-suits,Women,i like me women olive green  white printed night suit,959,1599,"S, M, L, XL, XXL",4.5,561,40,639,959
https://www.myntra.com/briefs/enamor/enamor-women-pack-of-3-assorted-low-waist-bikini-cotton--briefs-cr01/12176802/buy,12176802,Enamor,Lingerie & Sleep Wear,briefs,Women,enamor women pack of 3 assorted low waist bikini cotton  briefs cr01,,699,"S, M, L, XL",3.8,561,44,307,391
https://www.myntra.com/bra/sztori/sztori-plus-size-burgundy-solid-non-wired-non-padded-everyday-bra-sz-bra-708d/10304955/buy,10304955,Sztori,Lingerie & Sleep Wear,bra,Women,sztori plus size burgundy solid non wired non padded everyday bra sz bra 708d,339,849,"38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C, 42D, 44B, 44C, 44D, 46B, 46C, 46D",4.3,561,60,509,340
https://www.myntra.com/bra/dressberry/dressberry-navy-blue-solid-non-wired-lightly-padded-everyday-bra-db-sprt-multi-01b1/10931648/buy,10931648,DressBerry,Lingerie & Sleep Wear,bra,Women,dressberry navy blue solid non wired lightly padded everyday bra db sprt multi 01b1,379,949,"S, M, L, XL",4.4,561,60,569,380
https://www.myntra.com/sarees/sangria/sangria-women-purple-solid-georgette-saree-with-embellished-belt/14464238/buy,14464238,Sangria,Plus Size,sarees,Women,sangria women purple solid georgette saree with embellished belt,1427,3399,Onesize,4.3,561,58,1971,1428
https://www.myntra.com/kurtas/herenow/herenow-women-teal-blue--yellow-printed-straight-kurta/12037956/buy,12037956,HERE&NOW,Plus Size,kurtas,Women,herenow women teal blue  yellow printed straight kurta,,1599,"XS, S, M, L, XL, XXL, 3XL",4,561,61,975,624
https://www.myntra.com/tops/harpa/harpa-women-rose-self-design-top/13594078/buy,13594078,Harpa,Western,tops,Women,harpa women rose self design top,,1299,"S, M, L, XL",4.1,561,50,649,650
